trade_date,entry_time_ist,exit_time_ist,hold_min,index,direction,strategy,entry_price,exit_price,premium_move_pct,spot_entry,spot_exit,spot_move_pct,market_moved_favorably,exit_reason,realized_pnl,is_win
2026-08-31,2026-08-31 09:46:00+05:30,2026-08-31 10:00:17.394302+05:30,14.289905033333334,NIFTY,PE,NIFTY_MACD_BEARISH_1M_ATM,69.81975,69.81975,0.0,24035.45,24030.9,-0.019,True,TRAILING_STOP,0.0,False
2026-08-31,2026-08-31 09:46:00+05:30,2026-08-31 10:05:19.048811+05:30,19.31748018333333,SENSEX,PE,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM,317.11679999999996,317.11679999999996,0.0,76909.7,76921.5,0.015,False,TRAILING_STOP,0.0,False
2026-08-31,2026-08-31 09:46:00+05:30,2026-08-31 10:05:19.048811+05:30,19.31748018333333,SENSEX,PE,SENSEX_MACD_BEARISH_1M_ATM,317.11679999999996,317.11679999999996,0.0,76909.7,76921.5,0.015,False,TRAILING_STOP,0.0,False
2026-08-31,2026-08-31 10:01:00+05:30,2026-08-31 10:53:57.357346+05:30,52.95595576666666,BANKNIFTY,PE,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,578.2777,608.2777,5.19,57320.15,57223.9,-0.168,True,TRAILING_STOP,900.0,True
2026-08-31,2026-08-31 10:06:00+05:30,2026-08-31 10:27:52.542028+05:30,21.875700466666668,SENSEX,PE,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM,312.51219999999995,327.51219999999995,4.8,76932.93,76850.75,-0.107,True,TRAILING_STOP,300.0,True
2026-08-31,2026-08-31 10:16:00+05:30,2026-08-31 10:28:21.011730+05:30,12.3501955,BANKNIFTY,PE,BANKNIFTY_MACD_BEARISH_1M_ATM,595.44485,595.44485,0.0,57266.65,57270.35,0.006,False,TRAILING_STOP,0.0,False
2026-08-31,2026-08-31 10:56:00+05:30,2026-08-31 12:56:00.824253+05:30,120.01373755,BANKNIFTY,PE,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,573.9734,489.05,-14.8,57207.95,57360.85,0.267,False,TIME_EXIT,-2547.701999999999,False
2026-08-31,2026-08-31 14:31:00+05:30,2026-08-31 21:17:20.687705+05:30,406.34479508333334,BANKNIFTY,PE,BANKNIFTY_MACD_BEARISH_1M_ATM,557.5569999999999,557.5569999999999,0.0,57315.5,58024.95,1.238,False,EOD_SQUARE_OFF,0.0,False
2026-09-01,2026-09-01 09:46:00+05:30,2026-09-01 11:13:03.672602+05:30,87.06121003333332,BANKNIFTY,PE,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,595.54495,475.96,-20.08,57369.65,57623.65,0.443,False,STOP_LOSS,-3587.548499999998,False
2026-09-01,2026-09-01 10:01:00+05:30,2026-09-01 10:22:31.253991+05:30,21.52089985,SENSEX,PE,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM,257.0568,205.44,-20.08,76801.24,76940.21,0.181,False,STOP_LOSS,-1032.3359999999996,False
2026-09-01,2026-09-01 10:01:00+05:30,2026-09-01 10:22:31.253991+05:30,21.52089985,SENSEX,PE,SENSEX_MACD_BEARISH_1M_ATM,257.0568,205.44,-20.08,76801.24,76940.21,0.181,False,STOP_LOSS,-1032.3359999999996,False
2026-09-01,2026-09-01 10:16:00+05:30,2026-09-01 10:29:02.625874+05:30,13.043764566666665,NIFTY,PE,NIFTY_MACD_BEARISH_1M_ATM,37.18715,29.72,-20.08,24047.2,24061.05,0.058,False,STOP_LOSS,-485.3647499999998,False
