order_id,symbol,qty,entry_price,entry_time,exit_price,exit_time,exit_reason,realized_pnl,strategy
f484cd5b-bbab-4746-80c1-1179cc8d7fd2,BANKNIFTY57000PE,1,600.04944999999997889972291886806488037109375,2026-09-02 06:16:00+00,562.799999999999954525264911353588104248046875,2026-09-02 08:16:00.792941+00,TIME_EXIT,-1117.48350000000073123374022543430328369140625,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM
39d88b98-465c-4487-896c-7fb0f7aeb6de,NIFTY23850PE,1,126.1259999999999905639924691058695316314697265625,2026-09-02 05:46:00+00,100.80000000000001136868377216160297393798828125,2026-09-02 07:13:45.648202+00,STOP_LOSS,-1646.18999999999869032762944698333740234375,NIFTY_HEIKIN_ASHI_BEARISH_1M_ATM
c9395687-3241-4d4f-9fc4-cff15771191b,SENSEX76300PE,1,237.68744999999995570760802365839481353759765625,2026-09-02 05:46:00+00,189.960000000000007958078640513122081756591796875,2026-09-02 06:59:36.113794+00,STOP_LOSS,-954.5489999999989549905876629054546356201171875,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM
d0fd3d74-9685-4f7c-8eaf-14aba98c240b,BANKNIFTY57000PE,1,600.2496499999998604835127480328083038330078125,2026-09-02 04:16:00+00,599.450000000000045474735088646411895751953125,2026-09-02 06:16:01.265503+00,TIME_EXIT,-23.989499999994450263329781591892242431640625,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM
a5a12951-39ed-4097-ac40-10070586e239,NIFTY23850PE,1,128.4783499999999776264303363859653472900390625,2026-09-02 04:16:00+00,102.68000000000000682121026329696178436279296875,2026-09-02 05:00:16.942269+00,STOP_LOSS,-1676.8927499999981591827236115932464599609375,NIFTY_HEIKIN_ASHI_BEARISH_1M_ATM
59efd99c-dbc4-499b-83df-717a041fa024,SENSEX76300PE,1,244.94469999999995479811332188546657562255859375,2026-09-02 04:16:00+00,195.759999999999990905052982270717620849609375,2026-09-02 04:50:29.785808+00,STOP_LOSS,-983.693999999999277861206792294979095458984375,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM
46ccb66e-bcb8-477b-9988-dd6acb0df82c,SENSEX76900PE,1,248.448199999999957299223751761019229888916015625,2026-09-01 07:46:00+00,398.19999999999998863131622783839702606201171875,2026-09-01 08:39:37.531166+00,TAKE_PROFIT,2995.03600000000051295501179993152618408203125,SENSEX_HEIKIN_ASHI_BEARISH_1M_ATM
736c6cfb-8ef3-4a21-90ac-df51eb6f5ad6,SENSEX77000PE,1,270.52024999999997589839040301740169525146484375,2026-09-01 08:01:00+00,420.25,2026-09-01 08:34:12.069551+00,TAKE_PROFIT,2994.5950000000002546585164964199066162109375,SENSEX_MACD_BEARISH_1M_ATM
1bd09779-76a4-4e5a-9b6b-c278b78b558e,BANKNIFTY57500PE,1,584.083499999999958163243718445301055908203125,2026-09-01 07:46:00+00,599.083499999999958163243718445301055908203125,2026-09-01 08:00:43.443197+00,TRAILING_STOP,450,BANKNIFTY_MACD_BEARISH_1M_ATM
5825703f-170c-4c14-a58e-00a302494280,BANKNIFTY57500PE,1,584.083499999999958163243718445301055908203125,2026-09-01 07:46:00+00,599.083499999999958163243718445301055908203125,2026-09-01 08:00:43.443197+00,TRAILING_STOP,450,BANKNIFTY_HEIKIN_ASHI_BEARISH_1M_ATM
