Timestamp,Open,High,Low,Close,Volume
2026-08-28 14:47:00+05:30,24115.5,24117.95,24113.5,24117.8,705857
2026-08-28 14:48:00+05:30,24118.3,24123.35,24117.55,24122.35,868170
2026-08-28 14:49:00+05:30,24123.3,24127.5,24122.2,24126.65,1443071
2026-08-28 14:50:00+05:30,24128.35,24136.65,24124.3,24134.7,1860733
2026-08-28 14:51:00+05:30,24136.2,24138.05,24130.1,24131.85,1333096
2026-08-28 14:52:00+05:30,24131.4,24137.6,24130.5,24136.15,1085471
2026-08-28 14:53:00+05:30,24136.8,24139.35,24134.95,24136.2,1428648
2026-08-28 14:54:00+05:30,24137.3,24140.15,24133.85,24138.35,1472493
2026-08-28 14:55:00+05:30,24139.35,24140.75,24134.95,24135.75,969455
2026-08-28 14:56:00+05:30,24136.65,24136.65,24131.75,24132.25,882209
2026-08-28 14:57:00+05:30,24133.6,24135.0,24130.45,24132.25,1357726
2026-08-28 14:58:00+05:30,24132.5,24133.3,24129.15,24129.2,910839
2026-08-28 14:59:00+05:30,24130.45,24133.05,24128.7,24129.45,1280870
2026-08-28 15:00:00+05:30,24128.45,24129.0,24121.0,24122.0,1301488
2026-08-28 15:01:00+05:30,24120.9,24122.85,24116.05,24117.25,1192617
2026-08-28 15:02:00+05:30,24117.95,24118.35,24107.0,24108.7,1464300
2026-08-28 15:03:00+05:30,24107.55,24111.35,24105.05,24107.15,1174808
2026-08-28 15:04:00+05:30,24104.9,24111.85,24104.9,24108.9,1261182
2026-08-28 15:05:00+05:30,24108.95,24114.15,24108.25,24109.8,1758469
2026-08-28 15:06:00+05:30,24110.05,24113.15,24108.85,24110.8,1578038
2026-08-28 15:07:00+05:30,24110.35,24114.2,24109.8,24112.3,1233632
2026-08-28 15:08:00+05:30,24111.65,24119.75,24111.45,24119.6,1048070
2026-08-28 15:09:00+05:30,24117.95,24124.45,24116.45,24123.0,1324558
2026-08-28 15:10:00+05:30,24122.3,24129.85,24121.75,24128.05,1732237
2026-08-28 15:11:00+05:30,24127.45,24155.4,24124.55,24152.8,2001537
2026-08-28 15:12:00+05:30,24149.8,24159.1,24146.75,24152.55,3621603
2026-08-28 15:13:00+05:30,24150.9,24155.7,24147.4,24148.55,1788681
2026-08-28 15:14:00+05:30,24148.65,24150.75,24139.45,24142.95,1610968
2026-08-28 15:15:00+05:30,24142.45,24142.45,24142.45,24142.45,3430
2026-08-28 15:16:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:17:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:18:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:19:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:20:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:21:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:22:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:23:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:24:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:25:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:26:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:27:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:28:00+05:30,24142.45,24142.45,24142.45,24142.45,0
2026-08-28 15:29:00+05:30,24142.45,24175.65,24142.45,24175.65,5143616
2026-08-31 09:15:00+05:30,24117.55,24128.7,24040.9,24042.3,6502059
2026-08-31 09:16:00+05:30,24046.75,24061.6,24038.4,24056.55,4299047
2026-08-31 09:17:00+05:30,24056.8,24068.25,24050.25,24064.7,3670363
2026-08-31 09:18:00+05:30,24068.45,24068.45,24048.75,24058.05,2829829
2026-08-31 09:19:00+05:30,24060.3,24068.75,24055.55,24065.05,4125165
2026-08-31 09:20:00+05:30,24067.2,24084.2,24057.6,24082.3,2815372
2026-08-31 09:21:00+05:30,24085.1,24085.1,24069.55,24072.85,1735187
2026-08-31 09:22:00+05:30,24075.4,24083.6,24071.1,24075.35,1771677
2026-08-31 09:23:00+05:30,24077.45,24077.65,24070.65,24071.9,2215088
2026-08-31 09:24:00+05:30,24073.6,24073.75,24062.9,24066.7,2852722
2026-08-31 09:25:00+05:30,24066.7,24070.8,24061.75,24064.4,2437008
2026-08-31 09:26:00+05:30,24066.25,24066.25,24047.3,24049.2,2257512
2026-08-31 09:27:00+05:30,24049.2,24055.2,24039.45,24040.5,1878082
2026-08-31 09:28:00+05:30,24041.9,24046.0,24039.9,24041.95,2266698
2026-08-31 09:29:00+05:30,24043.75,24045.65,24036.2,24043.05,1406413
2026-08-31 09:30:00+05:30,24045.5,24050.1,24043.3,24047.2,1680994
2026-08-31 09:31:00+05:30,24047.9,24047.9,24039.8,24043.1,1590015
2026-08-31 09:32:00+05:30,24045.95,24064.5,24043.65,24060.05,1511570
2026-08-31 09:33:00+05:30,24060.05,24064.9,24056.9,24064.05,1654482
2026-08-31 09:34:00+05:30,24066.6,24067.4,24057.1,24057.55,1359852
2026-08-31 09:35:00+05:30,24057.55,24060.0,24050.35,24052.0,1134861
2026-08-31 09:36:00+05:30,24052.7,24056.0,24048.85,24053.7,993939
2026-08-31 09:37:00+05:30,24057.1,24059.45,24053.4,24059.4,1535219
2026-08-31 09:38:00+05:30,24059.4,24063.0,24048.4,24050.1,1227259
2026-08-31 09:39:00+05:30,24051.9,24051.9,24045.65,24046.9,729951
2026-08-31 09:40:00+05:30,24049.45,24049.75,24041.25,24048.65,1399540
2026-08-31 09:41:00+05:30,24050.5,24050.5,24040.55,24042.35,1026055
2026-08-31 09:42:00+05:30,24045.5,24045.5,24031.55,24033.0,923979
2026-08-31 09:43:00+05:30,24033.0,24035.05,24026.35,24028.6,1078720
2026-08-31 09:44:00+05:30,24030.4,24030.55,24024.25,24024.6,951875
2026-08-31 09:45:00+05:30,24026.65,24026.85,24019.55,24026.55,839595
