Timestamp,Open,High,Low,Close,Volume
2026-08-28 14:47:00+05:30,77108.39,77114.2,77104.31,77112.81,26860
2026-08-28 14:48:00+05:30,77113.23,77131.28,77110.09,77131.28,23357
2026-08-28 14:49:00+05:30,77130.03,77148.59,77126.76,77148.59,22309
2026-08-28 14:50:00+05:30,77151.28,77160.68,77138.78,77160.07,30846
2026-08-28 14:51:00+05:30,77159.48,77177.71,77159.48,77163.63,14030
2026-08-28 14:52:00+05:30,77164.17,77172.64,77156.76,77171.65,16633
2026-08-28 14:53:00+05:30,77171.78,77181.21,77164.6,77178.88,23015
2026-08-28 14:54:00+05:30,77174.92,77182.87,77170.48,77181.42,38067
2026-08-28 14:55:00+05:30,77181.72,77188.51,77175.36,77177.48,18783
2026-08-28 14:56:00+05:30,77178.41,77179.93,77165.9,77169.15,21361
2026-08-28 14:57:00+05:30,77172.0,77174.02,77161.63,77164.6,17053
2026-08-28 14:58:00+05:30,77165.33,77173.78,77160.42,77163.24,30679
2026-08-28 14:59:00+05:30,77162.11,77170.72,77152.51,77157.71,41876
2026-08-28 15:00:00+05:30,77158.5,77158.5,77135.05,77136.03,29332
2026-08-28 15:01:00+05:30,77135.45,77139.68,77115.58,77121.06,17174
2026-08-28 15:02:00+05:30,77119.79,77119.79,77093.46,77093.46,37780
2026-08-28 15:03:00+05:30,77095.07,77098.76,77081.01,77081.01,26195
2026-08-28 15:04:00+05:30,77079.8,77091.31,77076.04,77085.71,22994
2026-08-28 15:05:00+05:30,77087.51,77094.89,77079.19,77089.67,40043
2026-08-28 15:06:00+05:30,77088.69,77098.06,77080.6,77086.28,22317
2026-08-28 15:07:00+05:30,77082.87,77096.89,77078.33,77091.61,39766
2026-08-28 15:08:00+05:30,77092.06,77107.11,77089.2,77102.3,19000
2026-08-28 15:09:00+05:30,77102.18,77141.73,77102.18,77136.99,17378
2026-08-28 15:10:00+05:30,77137.39,77150.54,77127.95,77150.54,34918
2026-08-28 15:11:00+05:30,77145.32,77215.44,77138.5,77215.44,56701
2026-08-28 15:12:00+05:30,77214.99,77248.62,77208.1,77241.55,24583
2026-08-28 15:13:00+05:30,77236.39,77243.22,77201.49,77225.48,65047
2026-08-28 15:14:00+05:30,77225.4,77225.4,77167.85,77194.59,20391
2026-08-28 15:15:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:16:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:17:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:18:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:19:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:20:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:21:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:22:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:23:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:24:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:25:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:26:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:27:00+05:30,77194.59,77194.59,77194.59,77194.59,0
2026-08-28 15:28:00+05:30,77194.59,77264.51,77194.59,77264.51,73461
2026-08-28 15:29:00+05:30,77264.51,77264.51,77264.51,77264.51,0
2026-08-31 09:15:00+05:30,77130.73,77177.27,76916.6,76926.02,306025
2026-08-31 09:16:00+05:30,76921.61,76997.21,76896.93,76991.75,172247
2026-08-31 09:17:00+05:30,76985.71,77011.24,76968.36,77008.57,196811
2026-08-31 09:18:00+05:30,77013.97,77017.21,76953.92,76982.81,120614
2026-08-31 09:19:00+05:30,76983.21,77024.72,76972.78,77005.21,179765
2026-08-31 09:20:00+05:30,77003.47,77071.65,76996.93,77065.88,111635
2026-08-31 09:21:00+05:30,77069.6,77076.2,77039.73,77057.92,129108
2026-08-31 09:22:00+05:30,77055.3,77069.07,77037.74,77050.28,63237
2026-08-31 09:23:00+05:30,77047.51,77067.11,77031.47,77040.76,85336
2026-08-31 09:24:00+05:30,77047.46,77050.77,77024.6,77036.66,69127
2026-08-31 09:25:00+05:30,77030.77,77046.6,77019.01,77030.86,73634
2026-08-31 09:26:00+05:30,77031.44,77033.1,76969.64,76969.69,63607
2026-08-31 09:27:00+05:30,76968.52,76998.56,76945.36,76952.65,85386
2026-08-31 09:28:00+05:30,76957.5,76962.54,76942.01,76944.47,62408
2026-08-31 09:29:00+05:30,76942.03,76957.51,76927.51,76952.98,51514
2026-08-31 09:30:00+05:30,76955.7,76971.74,76944.46,76962.45,51537
2026-08-31 09:31:00+05:30,76963.21,76963.21,76941.84,76948.45,85542
2026-08-31 09:32:00+05:30,76947.12,77013.21,76946.51,77001.96,54803
